Bulldozer,so_yellow
Groundwater,so_olive
Candy Apple,so_red
Ultraviolet,so_purple
Night,so_night
Caramel,so_caramel
Grassland,so_grassland
Blue Spruce,so_moss
Sand Dune,so_sand
Storm,so_stormfront
Tornado,so_tornado
Whiteout,so_whiteout
Jungle,so_jungle
Colony,so_space_marine
Contractor,so_pmc
Demolition,so_tangerine
Nitro,so_orange_accents
Afterimage,cu_broken_path_famas
Bullet Rain,cu_bullet_rain_m4a1
Death by Kitty,cu_catskulls_p90
Doomkitty,CSGO_Doomkitty
Forest DDPAT,hy_ddpat
Urban DDPAT,hy_ddpat_urb
Jungle DDPAT,hy_ddpat_jungle
Orange DDPAT,hy_ddpat_orange
Pink DDPAT,hy_ddpat_pink
Arctic Camo,hy_arctic
Polar Camo,Paintkit_hy_arctic_contrast
Arctic Glacier Camo,Paintkit_hy_arctic_glacier
Dive Camo,hy_dive
Bright Water,hy_ocean
Wood Camo,hy_forest
Winter Forest,hy_forest_winter
Boreal Forest,hy_forest_boreal
Forest Night,hy_forest_night
Desert Storm,hy_desert
Bengal Tiger,hy_tiger
Copperhead,hy_copperhead
Skulls,hy_skulls
Crimson Web,hy_webs
Blue Streak,hy_splatter
Red Laminate,hy_ak47lam
Black Laminate,hy_ak47lam_bw
Blue Laminate,hy_ak47lam_blue
Gunsmoke,hy_gelpen
Jungle Tiger,hy_v_tiger
Blood Tiger,hy_redtiger
Virus,hy_zombie
Granite Marbleized,hy_granite
Blizzard Marbleized,hy_blizzard
Mudder,hy_sediment
Cyanospatter,hy_reef_rock
Contrast Spray,sp_spray
Sage Spray,sp_spray_sage
Jungle Spray,sp_spray_jungle
Sand Spray,sp_spray_sand
Wave Spray,sp_spray_waves
Army Recon,Paintkit_sp_spray_army
Dry Season,sp_tape_dots
Urban Perforated,sp_tape_dots_urban
Waves Perforated,sp_tape_dots_waves
Forest Leaves,sp_leaves
Grassland Leaves,sp_leaves_grassland
Lichen Dashed,sp_short_tape
Jungle Dashed,sp_short_tape_jungle
Sand Dashed,sp_short_tape_sand
Urban Dashed,sp_short_tape_urban
Bone Mask,sp_tape
Orange Peel,sp_tape_orange
Urban Masked,sp_tape_urban
Driftwood Mesh,sp_mesh
Safari Mesh,sp_mesh_tan
Polar Mesh,sp_mesh_arctic_contrast
Condemned,sp_mesh_fire
Glacier Mesh,sp_mesh_glacier
Sand Mesh,sp_mesh_sand
Snake Camo,sp_snake
Silver,an_silver
Hot Rod,an_red
Anodized Gunmetal,an_gunmetal
Anodized Navy,an_navy
Metallic DDPAT,am_urban
Gold Tiger,am_tiger
Dragon Tattoo,am_dragon_glock
Caustics,am_caustics
Lightning Strike,am_lightning_awp
Ossified,am_ossify
Blaze,aa_flames
Splash,aa_splash_p250
Fade,aa_fade
Amber Fade,aa_fade_metallic
Acid Fade,aa_fade_grassland
Copper,aq_copper
Blue Steel,aq_blued
Stained,aq_forced
Case Hardened,aq_oiled
Spitfire,sp_spitfire_famas
Slaughter,am_zebra
Dark Water,am_zebra_dark
Hypnotic,aa_vertigo
Bloomstick,cu_spring_nova
Hazard,sp_hazard
Rusty,aq_rust
Cold Blooded,am_slither_p90
Carbon Fiber,am_carbon_fiber
Scorpion,am_scorpion_p2000
Wings,hy_feathers_aug
Palm,Paintkit_sp_palm
Tropical Storm,sp_palm_shadow
Walnut,cu_walnut_nova
Brass,aq_brass
KABOOM!,hy_blam
BOOM,hy_blam_simple
Scorched,sp_dapple
Splash,sp_splash_p250
Modern Hunter,hy_hunter_modern
Splash Jam,hy_hunter_blaze_pink
Blaze Orange,hy_hunter_blaze_orange
Irradiated Alert,sp_nukestripe_brown
Fallout Warning,sp_nukestripe_maroon
Radiation Hazard,sp_nukestripe_orange
Nuclear Threat,sp_nukestripe_green
Predator,sp_zebracam
Faded Zebra,sp_zebracam_bw
Azure Zebra,sp_zebracam_blue
GO Camo,CSGO_Camo
Memento,CSGO_Icosahedron
Fire Serpent,cu_fireserpent_ak47_bravo
Corticera,cu_favela
Emerald Dragon,cu_dragon_p90_bravo
Overgrowth,hy_siege_bravo
Golden Koi,am_scales_bravo
Graven,aq_etched_mac10_bravo
Black Limba,cu_season_elites_bravo
Tempest,hy_seaside_bravo
Facets,hy_crumple_dark_bravo
